"","x"
"1","Xenophyes"
"2","Spissistilus"
"3","Ledropsis"
"4","Ledra"
"5","Amrasca"
"6","Empoasca"
"7","Alebra"
"8","Erasmoneura"
"9","Clydacha"
"10","Deltocephalus"
"11","Graphocephala"
"12","Hylaius"
"13","Diestostemma"
"14","Homoscarta"
"15","Proconosama"
"16","Paraulacizes"
"17","Cuerna"
"18","Oncometopia"
"19","Phera"
"20","Homalodisca"
"21","Cyrtodisca"
"22","Acrogonia"
"23","Pamplona"
"24","Helochara"
"25","Paromenia"
"26","Cicadella"
"27","Jikradia"
"28","Evacanthus"
"29","Pagaronia"
"30","Dalbulus"
"31","Scaphoideus"
"32","Excultanus"
"33","Macrosteles"
"34","Nephotettix"
"35","Acinopterus"
"36","Magicicada"
"37","Platypleura"
"38","Cryptotympana"
"39","Hyalessa"
"40","Graptopsaltria"
"41","Meimuna"
"42","Cicada"
"43","Mogannia"
"44","Pectinariophyes"
"45","Chaetophyes"
"46","Hindoloides"
"47","Machaerota"
"48","Philaenarcys"
"49","Locris"
"50","Machadoa"
"51","Aufidus"
"52","Cosmoscarta"
"53","Maxantonia"
"54","Prosapia"
"55","Huaina"
"56","Aeneolamia"
"57","Mahanarva"
"58","Ocoaxo"
"59","Baetkia"
"60","Ptyelus"
"61","Lepyronia"
"62","Cephisus"
"63","Philagra"
"64","Clovia"
"65","Microsargane"
"66","Aphrophora"
"67","Mesoptyelus"
"68","Neophilaenus"
"69","Philaenus"
"70","Eicissus"
"71","Clastoptera"
"72","Aphelonema"
"73","Onycta"
"74","Lophops"
"75","Olonia"
"76","Platybrachys"
"77","Hilda"
"78","Danepteryx"
"79","Dictyssa"
"80","Faventilla"
"81","Catonia"
"82","Paracatonia"
"83","Aphypia"
"84","Kurandella"
"85","Lappida"
"86","Afronersia"
"87","Scolops"
"88","Orgamara"
"89","Ticida"
"90","Orgerius"
"91","Mitrops"
"92","Rhynchomitra"
"93","Hyalodictyon"
"94","Capenopsis"
"95","Episcius"
"96","Enchophora"
"97","Penthicodes"
"98","Pyrops"
"99","Zanna"
"100","Phenax"
"101","Pterodictya"
"102","Amycle"
"103","Poblicia"
"104","Alphina"
"105","Tangia"
"106","Nisia"
"107","Bothriocera"
"108","Oecleus"
"109","Oliarus"
"110","Cixius"
"111","Pentastiridius"
"112","Reptalus"
"113","Pintalia"
"114","Hyalesthes"
"115","Copicerus"
"116","Ugyops"
"117","Burnilia"
"118","Stenocranus"
"119","Stobaera"
"120","Peregrinus"
"121","Conomelus"
"122","Megamelus"
"123","Tagosodes"
"124","Sogatella"
"125","Nilaparvata"
"126","Opiconsiva"
"127","Javesella"
"128","Tropidocephala"
"129","Saccharosydne"
"130","Laodelphax"
"131","Neopunana"
"132","Oeclidius"
"133","Southia"
"134","Acanalonia"
"135","Thionia"
"136","Euricania"
"137","Pochazia"
"138","Mistharnophantia"
"139","Metcalfa"
"140","Anotia"
"141","Omalicna"
"142","Cedusa"
